,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
RIL182_00306,0,1,0,1.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIL182_00309,0,0,0,0,0,0,488.119,174.849,0,0,0,0,0,62.251,0,82.396,0,7.327,0,0,0,0,0,160.794,0,0,0,343.447,641.031,0,0,0,0,0,0,0,33.869,26.639,0,0,0,0,0,0,0
RIL182_00310,13,22,10,3,5,5,24,4,41,0,0,0,0,0,0,2,38,21,69,25,39,27,42,10,18,11,14,15,0,0,0,4,1,0,0,0,0,0,0,31,4,18,42,22,24
RIL182_00311,31,26,3,0,6,10,2,25.505,8,0,0,0,0,0,0,6,0,0,65,68,13,43,16.023,8,19,38,21,16,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22,29,12
RIL182_00312,49,59,28,10,28,29,9,4.495,20,0,0,1,8,0,0,9,0,0,82,69,68,53,49,66,69,43,5,9,0,0,0,0,3,0,0,0,0,0,0,24,45,0,4,9,11
RIL182_00313,149,217.204,76,34,72,44,44,58,33,6,1,3,6,0,5,79,0,0,327,152,211,140,66,75,432,398,46,30,0,39,6,5,2,2,3,0,6,0,0,13,42,39,393,325,316.765
RIL182_00314,175,177,96,83,92,83,33,77,143,2,1,6,8,13,3,66,23,22,162,87,156,143,268,92,149,233,74,85,13,45,0,0,9,1,4,3,0,16,26,107,174,232,325,245,306.235
RIL182_00315,102818.684,74315.201,43009,47681.416,83608.474,6302,36728,27794,49835,1110,981,1133,1003,642,591,3154,752,1039,59654,51871.903,70993.017,44592,62616,53878.215,16025,21528.79,26548,16814,11585,9855,6760,11417,19461,1697,1950,1887,848,1015,845,11580,11183,13272,24600,18730,22613
RIL182_00316,52465.66,40431.899,27329,25314.976,49818.752,4485.17,12757,11161,18149,1083,988,1253,1328,1244,931,1593,702,1312,13255.275,11060,24627,25079,35290,41865,8853.05,13973.025,20714,12568,5029,6880,5225,8051,15239,1539,1945,1798,978,1149,749,7746,5908,9471,20465,14836,17314
RIL182_00317,693.668,847.9,506,168,628.185,38,8,34,15,8,2,6,0,0,0,8,0,0,95,89.008,119.92,341.299,132.02,326.583,158.429,156,294,119,23,71,44,158.4,225.031,63,44,51,11,0,0,21,22,9,384,311,129.352
RIL182_00318,5864.01,6462.241,2880,2660,7380.005,407.991,200,217,549,70,67,62,34,42,22,85,40,0,888,867.992,1313.08,1671.701,1605.501,3160.252,1065.571,1724,2612,988,137,551,758,1120.138,1889.969,303,329,319,45,35,0,98,372,201,1731,1443,1288.648
RIL182_00319,2635.106,3041.316,1514.2,1295.769,3711.704,149.55,121.813,146.11,241.886,24,8.625,29,21,5,14,52,0,0,303,296.263,266.984,787.921,997.094,998.866,630.306,755.223,1808.398,670,163,375,356,431.322,736.744,254.427,219.97,221,18,22.728,0,92,97,146,981,880,554.736
RIL182_00320,70626.453,64246.018,40955.388,34903.198,70415.275,6396.914,10495.257,11241.506,18524.308,1353.919,927.36,1381.006,1001.123,898.643,801.291,1327.868,542,461.113,17645.658,15261.735,21536.893,22011.442,23035.138,42620.045,9108.281,14124.514,33097.542,16659.981,5648.172,9897.489,8074.704,12341.728,20614.984,2437.287,2732.376,2527.997,751.998,750.092,534.844,3634.17,3736.41,4835.202,19206.801,15216.763,16623.491
RIL182_00321,59878.732,46400.897,33059.413,24692.295,53354.504,5624.544,19532.93,19314.383,33475.806,1012.081,1124.015,1178.994,1029.877,1086.357,1068.709,761.132,626,650.887,16084.342,12062.14,17990.813,21065.636,23804.247,44253.075,5460.413,12891.263,30868.06,15577.019,6461.828,8972.511,5825.296,8749.412,15690.272,1626.286,1894.654,2039.003,588.002,601.18,436.156,4023.83,4016.59,6324.798,12559.199,7976.237,9032.773
RIL182_00322,42.999,56,25.963,48,27,55,19,14,23,2,4,0,0,0,0,12,0,0,47,20,21,55,93.732,31,85.002,69.24,42,20,0,8,4,1,0,0,0,0,0,0,0,0,2,42,0,13,6
RIL182_00323,108.001,97,69.037,72,83,102,15,32,33,3,0,0,0,0,0,7,12,0,45,30,58,68,63.268,86.948,126.998,82.76,51,1,0,11,2,0,2,4,0,0,0,0,0,13,40,27,2,5,24
RIL182_00324,459,310,212,545,303,341,730,834,1158,105,94,82,65,59,88,8,28,55,183,190,185,676.022,557,356.052,186,362,389,106,41,107,41,32,34,0,9,7,0,0,0,94,58,120,86,61,119
RIL182_00325,833.535,343.955,160,2744.078,2053.61,2013.405,501.654,1059.628,1770.583,179.4,77.721,126.548,105,303,134,36,83,45,158,120,135,384.782,137.184,81,2713.434,2798.43,358,565,179,297,20,19,13,6,6,3,0,7,0,11,16,28.834,332.996,171.68,187.68
RIL182_00326,11428.855,3641.045,1542,43481.864,29522.39,23126.237,59022.346,65167.372,111136.417,5040.6,4316.279,5287.452,6482,13086,9337,715,10062,4103,2469,1798,2190,10706.218,5752.816,3749,26938.49,35754.631,4972,7556,2549,6584,131,389,495,112,199,123,60,121,116,790,945,985.166,3994.004,3226.32,2946.32
RIL182_00327,13661.362,4484.001,2828,55177.251,45611.965,29870,116562.524,96600,154157,7401,7555,7657,17329,27810.925,21541,1616,19922,12198,5178,4439,7059,19216.808,18946,8398,40439.858,55893.895,14905,22993,14096.873,16792,367.244,561,770,132,204,164,335,504,257,4200,3960,4869,7241,5121,6401
RIL182_00328,8315.355,2850,2132,42223.397,29773.1,20735,50154,54380,86063.033,2825,2315,3328,5167,8190,6797,621,4484,2827,2130,1647,2411,10222,7526,3395,26140.647,36444.515,11155,20446,9270,13733,170,313,376,126,152,146,176,220,130,1346,991,1884,4101,2979,3363
RIL182_00329,17364.365,6190.356,4659.563,91172.482,69773.474,43518.544,258762.866,205443.283,301869.921,11044.788,9848.526,12341.658,25518.377,26253.484,22409.978,2006.277,24064.437,16031,6885.99,5622,8895.449,48041.608,46655.534,18894.503,50718.858,76934.022,26319.464,50730,24333,30199.478,568,945.387,985,270,398,367,873,883,561,5413.227,5236,7009,12045.722,9286,11041
RIL182_00330,4696.635,1516.644,1029.437,23054.821,18960.037,10116.456,33218.134,33871.717,50797.079,1690.212,1317.47,1963.342,2495.623,3010.516,2419.022,544.723,3727.563,1371,1282.01,935,1409.358,6913.392,4526.466,2976.497,13963.31,18584.215,6613.536,10926,5069,8009.522,133,206.613,249,96,67,64,85,108,47,733.773,642,909,2957.278,2066,2906
RIL182_00331,20583.215,7101,4656,104072.53,85803.282,50184.888,162904.774,165534,229286,9556,8607.004,11145,10809,17114,13331,1737,15286,7104,5678.143,4127.444,5689.656,34525,19941,16054,49173.012,86680.27,28912,50622,17783,29590,572,1047,1298,353,460,402,486,508,289,2812,3055,3048,13715.117,8937,11014
RIL182_00332,6345,2599,1889,36875,36012.102,16501.52,49723.06,55459.926,99449,4106,3293,4826,7004,10299,7760,906,7189,3814,2633,2439,3615,15012,6534,5436,25025.996,36731.311,14741,25675,9897,15028,245,363,497,162,245,226,275,94,147,1314,1508,1331,6984,5163,5949
RIL182_00334,2095.001,1106,382,8805,9570.898,3467,5242.94,6679.074,11869,758,499,784,598,1240,901,196,978,489,576,410,395,1747,907,887,8896,10391.201,2423,3226,852,2265,59,129,130,48,65,61,7,45,37,139,291,155,1725,1478,1235
RIL182_00335,1800.104,1030,727,7544.004,3733.049,4208,11751,10608,16498,817,648,652,1214,942,1086,814,1576,1408,2723,2581,3521,4534,3184,2476,4823,7591,4570,3565,2371,3166,79,122,176,26,51,24,76,72,23,1031,774,1100,1289,1094,1240
RIL182_00336,5995.068,7455.325,2742.451,1579.177,3170.697,1096.355,30.164,39.951,91.488,18.755,5.138,8.438,28,0,0,1206.136,1,8.127,9619.283,8058.778,7053.64,1039.888,1805.639,828.335,3464.496,3416.947,1096.886,189,117.457,475.955,80,141.433,160.027,4,2,12,8,27.19,0,525.105,358.085,817.083,188.756,234.022,156.011
RIL182_00337,39550.305,45386.451,14372.549,11498.823,18973.679,7858.864,688.836,497.049,984.512,294.245,241.862,233.562,441,90,90,7951.864,292,305.873,53748.411,40641.412,28032.361,12415.112,28605.177,15028.665,14942.497,19788.053,5061.114,765,1082.543,2155.045,512,1916.567,1646.973,37,23,12,24,68.81,29,4343.895,3034.915,4347.917,1248.244,907.978,1154.989
RIL182_00338,19,6,0,7,6,0,27,30,16,0,0,0,0,0,0,3,0,0,1,0,2,17,0,0,27,39,18,69,0,8,0,2,0,0,0,0,0,0,0,0,0,0,37,44,43
"fig|536231.75.peg.345   Maltose/maltodextrin ABC transporter, permease protein MalF   [Roseburia intestinalis L1-82 | 536231.75]
",14,11,8,20,12,3,157,121,157,1,3,3,13,6,0,0,10,23,38,50,16,83,116,39,79,78,83,61,0,12,1,3,2,0,0,0,1,0,0,34,32,103,111,40,65
RIL182_00339,30,17,3,17,14,2,98,85,90,0,0,0,8,18,0,21,0,0,29,13,22,18,14,28,125,97,40,74,20,56,0,1,2,5,0,2,0,0,0,1,4,10,125,62,109
RIL182_00340,771,1429,357,167,245,244,353,239,550,34,28,31,55,62,35,92,30,16,777,515,383,367,512,463,678,505,138,41,11,97,11,41,47,8,0,8,0,0,0,156,174.929,181,270,140,163
RIL182_00341,4107,3090,1396,5454,3127,5840,3951,3997,5748,478,415,419,882,703,569,788,575,670,977,804,786.077,2181,2187,1856,1467,2524,2309,1277,438,1151,241,472,570,39,49,41,33,110,72,2135,1876,2579,4026,3000,3239
RIL182_00342,52219.426,38292.417,24776,44929.531,21823,25977,19562,20422,33343,5402,4307,3825,3488,2606,2613,3839,2608,2226,9118,6827,9098.045,16556,14026,10061,11708.002,21384,21719,10585,6912,10144,1968,3361,4674,342,383,368,100,119,80,2938,3055,3759,5227,4144,4838
"fig|536231.75.peg.350   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",221,313,286,36,39,27,0,1,17,2,0,0,0,0,0,32,0,0,35,43,34,24,23,11,73,120,97,1,0,66,0,0,2,0,1,0,0,9,0,0,13,33,12,19,1
RIL182_00343,1887.306,2987.335,836,498,755,429,29,3,50,7,0,2,15,0,0,106,7,0,749,476,907,317,383,143,824.01,960,336,101,22,145,8,39,54,3,0,6,4,0,0,133,89,54,115,90,126
RIL182_00344,253.529,439.219,103,177.022,248.998,224,0,0,42,12,5,12,57,25,41,211,0,9,136,85.822,58,62.865,71,49.639,369,308.638,94,43,0,63,7,19.464,20,6,0,0,0,0,0,150.506,197.994,106,125,53,24
RIL182_00345,361.606,652.97,190,414.978,417.002,262,107,151,200,28,39,46,56,23,0,116,11,21,207,105.433,167.952,57.134,91,156.361,573,467.325,182,61,14,87,7,31.957,54,2,6,1,4,0,0,262.494,156.006,148,378,298,235
RIL182_00346,51408.52,62397.872,28650,25825.137,38153.716,28776,2051,2195,4519,375,251,306,780,259,305,9145,1110,705,39954,31378.961,35690.079,13100.001,31072,14770,58078.985,67122.876,20102,5407,5857,13567,844,1426.579,1547,115,93,92,128,220,76,10293,8371,13362,8944,7984,9069
RIL182_00347,2365.649,2016.768,947.007,2800.798,3402.482,1704.157,2075.547,2003.326,3274.858,325.605,288.632,186.287,140.204,173.81,46.736,78.288,251.456,140.237,1338.801,887.714,958.868,2441.031,1713.776,1589.105,1195.69,2266.846,3023.843,875.937,290.363,1027.281,56.052,186.976,378.729,0,0,0,0,14,0,267.303,176.619,261.658,501.337,405.769,385.653
RIL182_00348,457.672,607.25,271.01,297.656,365.67,158.821,21.627,48.228,68.029,10.443,7.092,1.069,0,0,0,2,0,0,107.433,62.512,103.507,111.736,35.751,70.655,192.974,140.869,243.302,37.325,26,97.687,10.197,35.965,25.407,4.006,1,0,0,0,0,0,0,4.5,24.628,19.921,24.006
"fig|536231.75.peg.357   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",32.368,55.948,52.362,23.339,24.411,23.964,3.625,0,32.751,2,1,10,2.648,10,18,17.314,0,0,110.55,83.174,48.071,78.109,109.822,40.427,48.953,43.814,66.382,127.101,48.091,72.507,15,3.853,1.977,2.146,0,0,0,12.035,0,58.047,33.376,35.667,108.541,53.934,106.473
RIL182_00349,6830.716,5489.448,3739.778,6241.313,4137.771,2728.897,3136.058,3678.32,5338.513,222.965,257.202,253.652,188.4,82.98,119.585,743.156,206.409,196.909,3145.856,2249.353,1912.869,5381.492,3398.918,3562.164,4482.016,6099.081,7538.339,5818.423,1661.521,4263.721,405.671,415.581,580.054,88.287,136.799,101.346,98.131,96.868,14.122,1112.53,822.318,1060.759,6331.69,5151.934,6379.131
RIL182_00350,47.316,73.2,45.099,21.979,39.782,13.034,44.664,44,65.375,0,0,0,5.358,0,0,27.22,0,0,132.361,101.28,89.5,102.643,53.749,79.586,158.346,140.976,47.328,32.135,0,53.493,0,8.147,8.023,0,0,0,7,1.965,0,0,43.677,22.185,50.558,57.046,53.313
RIL182_00351,52.967,115.515,39.518,6.543,7.422,7.589,90.894,69.244,44.057,1,0,3,23,0,0,0,16,0,106.384,86.977,81.03,119.616,156.725,104.894,25.196,27.193,19.22,0,0,0,4,0,3.347,0,0,0,0,14,0,36.837,66.367,172.537,18.019,9.168,4.46
RIL182_00352,1021.106,1682.106,626,692.344,1511,389,20.076,0,25,1,5,1,0,5,0,14,0,0,474,321,492,29,27,43,437.029,647.721,265,10,0,26,24,29,34,9,1,0,0,0,0,8,33,17,48,52,31
RIL182_00353,2237.579,2979.894,1362,1387.656,1965,1752,439.924,534,909,131,58,105,181,50,90,192,144,161,944,844,1051,935,1284,1426,1628.971,1768.279,879,291,209,351,100,257,253,8,1,10,0,9,10,471,703,451,694,703,722
RIL182_00354,3998.202,5612,2092,2185,2831,3479,839,567,776,95,80,67,282,143,85,297,122,53,622,503,805,854,1636,1228,1748,2154,1082,242,122,349,130,274,206,34,6,9,12,31,0,592,449,684,736,743,630
RIL182_00355,4619,4799,974,2102,2301,1381,625,514,789,69,74,89,325,144,112,118,99,53,1125,1024,1321,2203,3921,1329,1903.569,1920,1010,356,100,288,77,160,169,18,14,22,20,26,9,442,399,488,483,447,415
"fig|536231.75.peg.365   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",7,14,57,3,5,1,0,0,2,1,0,0,0,0,0,0,0,0,12,9,16,9,0,0,12,16,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0
RIL182_00356,690,1020,430,197,409,169,50,91,144,5,0,0,19,12,0,151,10,51,1134,1140,1975,449,482,256,1529,975,290,88,170,201.919,7,24,49,0,0,5,9,49,0,286,334,413,221.556,374,320.89
RIL182_00358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.081,0,0,0,0,0,0,0,0,0,0,0,0,13.444,2,11.11
RIL182_00359,630,428,264,830,608,673,1601,1358,1612,149,120,105,330,99,172,248,231,241,287,281,330,717,1098,461,294,664,574,274,181,417,31,64,66,0,2,3,37,44,22,782,757,1304,566,392,504
RIL182_00360,7356.098,4821,3204,558,1168,254,1166,1230,2170,56,50,74,88,76,51,62,57,35,1076,674,604,2448,1753,1587,669,1291,1916,1552,558,744,225,218,253,68,73,29,4,0,19,40,140,165,1195,883,1053
RIL182_00361,550,503,251,216,253,183,126,156,334,19,17,24,77,19,0,114,70,40,383,382,351,412,419,310,295,284,213,127,99,169,14,21,16,9,0,0,20,23,0,650,522,334,476,429,551
"fig|536231.75.peg.372   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",286.998,278,119,188,210,156,8,30,71,4,0,1,0,0,0,58,0,0,76,69,67,27,0,13,142,106,55,77,19,36,11,8,9,0,5,2,0,0,0,1,0,0,22,29,50.808
RIL182_00362,4601.854,3890.881,1643,9465.296,6144.827,4008.366,3099.384,3709.649,6482.617,674.361,449.64,638.404,451,647,266,796,355.994,375,561,552.336,371,3412.142,1898.814,822.531,3143.361,3967.541,1206,1670,1157,1317,114,193,237,41,38,42,46,19,6,493.034,567.959,327,1882.391,1577.069,1683.192
RIL182_00363,3219.351,2656.119,1122,6685.949,4000.588,2672.634,3082.616,3162.351,5274.383,578.639,469.36,611.596,619,809,545,394,367.006,251,537,313.664,368,3135.858,3390.186,980.469,1922.639,2401.652,949,1765,774,1196,66,150,179,40,52,52,56,38,32,499.966,804.041,460,1427.609,1192.931,1177
RIL182_00364,1413,961,865,726,376,803,1459,1640,2392,50,47,84,69,47,31,80,153,52,914.083,534,588,1595,1198,1163,645,1232,2203,1325,446,784,125,110,196,34,45,52,12,21,11,219,253,248,1632,1198,1502
RIL182_00365,512.042,372,231,366,410,147,129,195,253,17,11,11,14,0,15,42,0,24,97,56,53,139,168.48,109,271,376,295,176,61,167,14,20,19,4,0,9,0,0,0,53,57,73,469,286,215
RIL182_00366,14132.84,11138.817,3421,7818,10182,2760,2342,2684,4308,316,262,293,344,285,433,667,289,175,2179,1963,2125,5281,2792.52,3380,4812,6974.653,3552,1723,489,1367,535,1460,2223,122,182,190,65,107,87,1992,1915,2169,8087,5610,6049
RIL182_00367,20468.222,16978.005,9037,10944.007,15073.382,3662,4456,4067,7458,454,334,381,820,627,410,1582,479,485,6072,5368,7038,11457,10769,9138,8303.626,9633,9135,4213,2000,3955,1055,1838,2878,171,264,221,303,177,314,6548,6745,7563,11520,8553,11100
"fig|536231.75.peg.379   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",95,87,41,48,91,19,0,0,26,3,3,1,4,0,0,0,0,0,30,6,18,68,24.761,7,85,86,168,36,34,4,10,6,8,0,0,3,0,0,0,0,0,8,46,39,23
RIL182_00368,22674.39,18667,12468,5472,11078.468,2265.038,2818,2767,4228,450,430,365,370,269,321,1100,407,309,17696,15887.003,23640.08,17966.279,10366.239,15293,11710,15963,19341,6577,4699,7439,959,1847,3164,215,197,201,154,89,144,2392,2492,2302,5012,3880,4586
RIL182_00369,3080,3772,1865,3716.04,3238,2012,533,641,1253,277,207,139,19,78,29,243,97,44,3168,1701,2453,1768,629,922,3446,4011,3407,958,736,1022,124,270,382,31,16,21,0,0,8,189,257,181,1692,1337,1473
RIL182_00370,6,8,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIL182_00371,4177,2645,1940,1333,2087,1837,245,244,493,116,82,91,54,40,17,140,50,0,680,528,951,1394,858,1072,575,1485.032,1540,206,120,349,57,107,213,6,8,4,29,45,11,371,391,546,669,475,553
RIL182_00372,2267,1851,1155,3879,2056,2986,5161,4026,7269,525,439,435,369,174,259,131,181,248,1050,653,1089,2196,1385,1556,934,2154,3236,1728,686,1234,170,286,361,72,92,73,16,39,18,578,436,865,2624,1888,2094
RIL182_00373,37875.224,26326.886,16018.239,65804.156,49919.34,17088,19904,19082,34053.572,1914.491,1408.487,1670.176,1076,1058,934,1601,801,942,8777.818,5638,10220.05,49185.482,34814.392,32835.65,32235.185,42685.431,59169,71251.457,18514,51782,2865,3729.08,6209.081,1683,2060,1801,371,498,288,4542.875,4460,6498.311,20267,15656,18331.004
RIL182_00374,13303.608,11259.144,5609.974,21777.197,17234.66,7511,2256,3139,5076.428,890.509,642.513,812.824,555,668,555,608,250,214,2452.182,1824,2420.62,27315.479,14332.066,15636.163,16307.904,20516.575,21594.817,24747.543,5217,20722.445,1028,1283.92,2391.919,844.655,1020,896,205,247,186,3427.125,3295,3874.689,11273,9119,10159.996
RIL182_00375,61111.252,48640.023,29976.786,99029.878,72571,37389.631,77811,67499,122155,3317,2219,2825,1718,1887,1756,3252,1875,1367,27410.578,21218,30513,73965.039,40073.542,64301.187,47352,67698.95,115116.85,126546.523,45348,95247.555,4230,6339,10560.977,2573.345,2791,2778,424,540,433,5380,4876,7958,27155,22420.825,25795
RIL182_00376,34986.806,29302.531,14035,55912.84,45268.541,19039.149,33040,32627,53793,2375,1671,2081,1800,1993,1918,1941,1629,1181,15799,11337,15921,52333.054,35724.99,46442.97,29768.688,47084.97,75310,69919,23820,56019,2233,3768,6459,1916,2196,2158,542,452,325,7964,7615,9702,34758,30343.414,32335
"fig|536231.75.peg.389   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIL182_00377,1001,879,284,1187,1126,1066,364,375,865,371,150,184,134,29,89,157,121,100,372,343,244,961,551,408,593,874,582,357,124,201,47,124,156,13,4,8,0,18,0,275,323,284,796,618,627
RIL182_00378,3591.009,2721,1473,6788,4876,8274,4501,3785,5833,899,698,615,650,430,507,1008,453,463,1359,1233,1316,2473,1967,1446,2007,3677.401,3508,2219,698,1655,279,547,539,43,58,40,66,79,69,2289,2040,2626,5140,3606,4049
RIL182_00379,2686,2097,1059,3907,2681,2997,3451,3906,6133,455,297,277,565,505,289,772,427,360,1130,885,1276,2259,1761,1347,1464,2722,2226,1231,700,1109,131,388,394,35,62,48,1,70,17,1057,1340,1368,4786,3436,3474
RIL182_00380,4470,3946,2232,5121,4273,7845,2583,2559,4045,560,384,408,446,347,271,688,446,262,1339,1111,1523,2058,2104,1735,2283.03,3634,3963,2009,535,1670,358,583,533,80,104,71,147,89,11,1367,1142,1579,5034,3688,4606
RIL182_00381,5244.039,3901,2222,5912,4203,6605,7991,7305,10792,745,623,572,1109,867,541,540,716,538,1665,1449,1779,3582,4005.22,3323,2258,4251,5868,2777,1183,1941,419,693,774,86,93,77,76,177,101,1488,1430,1712,6675,4782,5751
RIL182_00382,102,89,29,76,160,21,439,840,643,21,24,16,35,42,42,3028,81,132,85,93,76,400,326,133,60,69,46,32,11,38,0,9,4,1,0,3,120,118,119,4505,4765,4249,13631,8400,8502
RIL182_00383,71,70,11,135,135,36,370,296,506,11,18,14,38,62,45,2067,8,183,53,74,64,115,80,104,58,48,51,35,27,19,21,4,12,2,4,0,220,254,175,5491,4850,5934,11825,6890,7491
RIL182_00384,84,97,27,85,177,70,177,256,239,17,11,23,18,31,22,1900,56,146,120,85,64,203,204,119,75,61,25,93,38,15,6,15,14,4,21,0,118,220,107,4127,4069,4262,13382,8744,8070.434
RIL182_00385,10,15,12,38,37,5,147,193,330,4,6,5,19,5,0,654,90,37,20,16,22,140,64,42,23,38,6,3,23,6,4,3,7,0,0,0,54,6,28,973,1134,635,4159,2675,2266.566
RIL182_00386,373,499,163,357,315,443,52,97,211,21,24,12,33,20,14,163,24,0,146,115,206,149,138,176,332,404,155,72,23,155,19,30,26,8,24,0,2,16,0,189,210,207,742,697,695
RIL182_00387,484,461,200,502,335,453,203,177,292,24,23,20,40,13,31,196,0,66,151,62,93,106,156.091,99,239,336,276,256,24,127,38,41,38,3,6,10,11,2,24,393,407,432,988,779,659
RIL182_00388,1353.12,1495,704,857,742,956,954,787,1246,53,52,41,99,38,117,241,61,69,580,516,351,208,320,352,694,782,511,341,142,346,75,77,71,8,23,29,10,3,11,453,237,478,1212,853,1053
RIL182_00389,92.998,104,18,30,43,19,7,21,26,0,0,3,7,0,0,1,0,0,26,25,26,4,0,12,67,47,16,0,0,0,11,7,2,0,0,0,0,0,0,21,9,0,44,25,11
RIL182_00390,15341.762,11374,7366,18338,4263,35830,19870,21572,37111,1768,1250,1221,1237,1393,1336,3615,2384,1326,5208,2692,4621,8438,5485.539,6529,11319.047,12492.062,8872,17399,6092,13745,457,479,600,487,575,549,181,245,129,2508,2815,4073,11856,10145,11297
RIL182_00391,39,31,5,50,27,47,31,62,81,19,11,9,0,3,22,6,10,7,32,42,18,15,23,6,16,26,13,4,0,0,5,9,1,1,1,0,0,0,0,0,17,0,15,33,27
RIL182_00392,754,449,443,477,327,469,413,315,683,111,87,81,117,67,104,170,54,62,307,244,464,453,597,473,196,433.087,534,225,141,189,31,40,96,7,7,6,0,0,0,246,353,462,206,158,229
RIL182_00393,155,146,27,68,63,87,150,75,153,44,22,16,31,18,0,43,30,26,114,80,90,107,55,45,95,94,71,43,26,25,9,20,21,4,0,0,0,0,0,113,76,31,146,142,123
RIL182_00394,5140,2597,1976,1289,1080,940,2438,2268,4000,148,155,140,256,178,282,422,176,219,2107,1764,2144,2668,1329,1376,1194,1769,1166,1173,1112,1167,124,242,442,4,32,14,63,53,11,678,591,697,1097,703,1002
RIL182_00395,1329.617,776,666,780,536,705,2415,2171,2942,187,145,120,270,112,160,143,181,172,610,588,583,1629,1575,897,558,911,731,800,594,421,77,117,155,23,11,14,8,24,8,441,364,490,881,684,661
RIL182_00396,69.383,33,46,43,39,28,69.006,114,89,8,1,2,9,0,12,8,0,11,10,13,6,58,44,8,28,83.998,40,40,0,32,3,2,8,0,0,1,0,0,0,18.971,22,0,90,61,40
RIL182_00397,1295,915,628,764,596,824,1217.994,1109,1680,134,113,104,73,60,56,207,147,81,532,558,572,983,378,564,695,1075.002,685,715,438,509,75,114,200,12,6,16,0,25,0,150.029,99,203,789,522,669
RIL182_00398,1325,864,730,928,742,734,2078,2165,3863,142,110,124,308,223,85,388,240,218,573,592,734,1016,822,751.248,643,929,920,958,605,621,61,133,167,16,23,24,28,12,24,430,542,722,1039,696,968
RIL182_00399,1037,765,444,583,520,509,954,974,1469,113,86,101,151,134,168,131,85,44,385,360,495,866,957,638,537,736,692,572,338,469,65,84,131,21,14,21,44,48,19,252,232,441,675,635,642
RIL182_00400,212.008,134,95,116,131,118,130.812,59,253.255,22,24,22,9,12,0,13,83,0,37,62,47,108,63,104,142,172,107,102,56,118,13,15,29,2,7,9,0,0,0,16.499,52,125,296,285,350.728
RIL182_00401,1445.001,1227,257,482,491,302,253.188,260,407.745,42,31,38,93,7,76,197,57,142,818,797,993,806,706,222,662,633,212,168,83,182,36,119,173,3,3,19,0,0,0,243.501,285,124,517,415,454.272
RIL182_00402,507,459,319,412,285,328,401,294,439,65,31,72,51,48,34,71,99,27,307,318,288,483,439,311.306,353,375,258,243,164,163,27,42,71,15,14,21,15,9,13,115,206,205,423,221,315
RIL182_00403,1354,905,614,681,514,593,1133,905,1134,76,50,64,83,28,16,87,103,32,434,287,365,724,660,425,341,478,572,506,379,245,75,91,127,22,4,7,0,14,0,208,80,96,320,219,271
RIL182_00404,2751,1479,721,886,728,698,686,937,1085,87,62,81,76,31,41,262,68,22,952,997,1415,1310,504,681,636,1028,636,593,484,560,58,162,289,19,19,13,12,9,0,222,179,204,591,489,447.234
RIL182_00405,717,494,236,558,320,290,510,566,777,62,46,70,108,44,26,87,55,25,239,155,242,606,476,399,263,577,481,394,139,322,16,67,95,21,18,13,0,32,7,206,159,217,481,352,478
RIL182_00406,1384,701,457,836,606,711,3322,2389,3269,231,269,182,300,215,151,395,150,296,378,315,533,847,1189.928,747,390,698,655,354,307,342,29,68,163,12,18,12,18,72,15,549,492,722,459,320,368
RIL182_00407,836,586,212,324,315,317,453,334,825,100,84,73,57,74,30,155,81,41,299,281,521,742,277,418.054,378,605,226,83,50,113,12,62,86,13,17,13,21,0,12,135,121,76,381,293,198
RIL182_00409,70,60,7,51,23,77,1,0,13,6,1,1,0,0,0,12,17,0,4,2,6,10,22,1,21,37,17,17,0,8,8,6,2,0,0,0,0,0,0,0,5,9,31,5,1
RIL182_00410,1164,1071,402,1321,365,820,2227,1844,2235,91,116,91,206,142,125,501,232,128,134,149,144,762,1057,809,503,464,356,411,342,317,18,28,44,7,14,9,0,67,15,363,177,371,426,294,342
